error_id,section,original_error,severity,related_files,current_status,evidence_before,fix_action,files_changed,verification_command,verification_result,evidence_after,blocker,final_status
N3,N,Full-run gate hiện có nhiều lỗi bắt buộc: Các lỗi chính: - model missing; - locked params missing; - environment missing; - training history missing; - learning curves missing; - predictions missing; - condition metrics missing; - per-class metrics missing; - statistical tests missing; - manifest missing; - app smoke missing; - confusion matrices missing; - model status chưa FULL_RUN; - notebook 0/30 executed; - FULL_RUN marker missing; - SUBMISSION_READY missing.,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
N4,N,Consistency validator đang còn false-positive: Có trường hợp artifact consistency ghi PASS dù slide vẫn nói thông tin thành viên chưa được cung cấp. Validator cần kiểm text thật chứ không chỉ metadata tổng quát. --- # 16. Nhóm lỗi O — Excel,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
O1,O,Lỗi logic công thức đếm thành viên: Dữ liệu thành viên nằm ở: - dòng 10; - dòng 11; - dòng 12. Nhưng công thức hiện tại dùng: `=COUNTA(A11:A13)` Kết quả sai: **2 thành viên** ### Phải sửa `=COUNTA(A10:A12)`,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
O2,O,Lỗi logic tổng tỷ lệ phân công: Hiện dùng: `=SUM(D11:D13)` Kết quả: **0.67** ### Phải sửa `=SUM(D10:D12)` Kết quả: **1.00 / 100%**,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
O3,O,"Trạng thái Excel đang sai: Do hai công thức trên, Excel báo: `Cần kiểm tra` Thay vì trạng thái hợp lệ.",HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
O4,O,Formula validator chưa phát hiện lỗi logic: Hiện audit chỉ kiểm: - `#REF!`; - `#DIV/0!`; - các formula error kỹ thuật. Nhưng không kiểm expected value. Cần thêm semantic validation: - member count = 3; - total allocation = 100%. --- # 17. Nhóm lỗi P — Thông tin hành chính Thông tin đúng: 1. **24100358 — Nguyễn Tùng Dương** 2. **24100065 — Trịnh Ngọc Nga** 3. **24106898 — Trương Việt Thành**,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
P1,P,PowerPoint vẫn ghi thông tin thành viên chưa được cung cấp: Phải xóa hoàn toàn các câu kiểu: - `thông tin ba thành viên chưa được cung cấp`; - `tên thành viên còn thiếu`.,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
P2,P,Slide vẫn ghi giảng viên chưa được cung cấp: Nếu giảng viên thực tế đã được cung cấp ở nguồn hành chính thì phải điền. Nếu chưa có thì final package chưa được phép chứa placeholder.,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
P3,P,Word/PDF còn các chuỗi “chưa cung cấp”: Phải scan toàn bộ final package để loại: - `[Họ tên]`; - `[ĐIỀN ...]`; - `TBD`; - `unknown`; - `chưa cung cấp`; - `chưa được cung cấp`. Trừ trường hợp deployment thực sự pending và được mô tả rõ bằng trạng thái chính thức. --- # 18. Nhóm lỗi Q — Word/PDF Report,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
Q1,Q,Báo cáo chưa có kết quả CNN cuối: Hiện chưa có: - clean accuracy; - degraded metrics; - enhanced metrics; - Macro F1 final; - per-class final; - statistical significance final.,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
Q2,Q,Chưa có training curves thật: ,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
Q3,Q,Chưa có 49-condition summary thật: ,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
Q4,Q,Chưa có confusion matrices thật: ,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
Q5,Q,Chưa có statistical table thật: ,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
Q6,Q,Chưa có error case gallery thật: ,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
Q7,Q,Research Questions chưa thể trả lời bằng kết quả thật: Mỗi RQ phải được trả lời bằng số liệu từ `results/final`.,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
Q8,Q,Báo cáo hiện còn trạng thái NOT_SUBMISSION_READY: Phải chỉ đổi sau strict validator PASS.,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
Q9,Q,Deployment section chưa thể ghi deployed: Chỉ được ghi deployed sau URL thật + verification. --- # 19. Nhóm lỗi R — PowerPoint,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
R1,R,Chưa có CNN result slide cuối: ,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
R2,R,Chưa có clean/degraded/enhanced result thật: ,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
R3,R,Chưa có per-class result thật: ,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
R4,R,Chưa có statistical result thật: ,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
R5,R,Chưa có error analysis case thật: ,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
R6,R,Còn legacy/admin text sai: Đặc biệt câu: - chưa có thông tin thành viên; - tên thành viên còn thiếu.,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
R7,R,"Source notes cần đồng bộ: Mỗi slide kết quả nên có `[Sources]` trỏ đến artifact sinh số liệu. --- # 20. Nhóm lỗi S — README, Data Card, Model Card",HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
S1,S,README chưa thể ghi final metrics: Chỉ cập nhật từ: - CSV; - JSON; - manifest. Không nhập tay.,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
S2,S,Model Card chưa có model thật: Cần: - checksum; - architecture; - class order; - training; - performance; - per-class; - limitations; - intended use.,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
S3,S,Data Card cần số liệu tái audit từ raw dataset hiện tại: ,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
S4,S,Cần consistency giữa README/Word/PPT/Excel: Các giá trị phải đồng nhất: - model checksum; - class order; - train/val/test; - metrics; - names/MSSV; - status; - deployment. --- # 21. Nhóm lỗi T — Packaging,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
T1,T,Final ZIP chưa thể gọi là `95plus_final`: Hiện đúng hơn phải để: `deploy_ready_pending_fullrun`,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
T2,T,Chưa có final verification summary đầy đủ: Cần: `artifacts/final_verification_summary.json`,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
T3,T,Chưa có cross-artifact consistency đáng tin cậy: Hiện validator consistency vẫn bỏ lọt lỗi hành chính.,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
T4,T,Cần extracted-tree verification: Sau khi ZIP xong: 1. extract sang thư mục sạch; 2. compile; 3. pytest; 4. notebook check; 5. validator; 6. checksum; 7. consistency; 8. Streamlit smoke. Phải chạy trên chính ZIP cuối. --- # 22. Nhóm lỗi U — Streamlit Cloud Deployment,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
U1,U,Chưa có URL Streamlit thật: Đây là trạng thái hợp lệ hiện tại vì người dùng sẽ deploy sau. Nhưng không được tự chấm full điểm deploy.,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
U2,U,Chưa có deployment verification: Sau deploy cần: - URL; - commit; - timestamp; - screenshot thật; - health check; - startup; - upload; - prediction; - latency; - model checksum.,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
U3,U,"Chưa có incognito smoke: Phải kiểm tra app từ trình duyệt ẩn danh, không dựa vào session đăng nhập. --- # 23. Những lỗi cần sửa trong source trước khi chạy Colab Đây là phần cực kỳ quan trọng. Không nên chạy FULL_RUN ngay trước khi sửa các lỗi sau: 1. Bổ sung latency tie-break trong tuning. 2. Bổ sung đầy đủ metadata của locked params. 3. Bổ sung đầy đủ model metadata. 4. Bổ sung environment manifest contract. 5. Hoàn thiện raw audit fields. 6. Hoàn thiện dataset-version guard. 7. Hoàn thiện validation-only tuning guard",HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
